Rk,Player,slug,Tm,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,Signed Using,Guaranteed
62,Allen Crabbe,crabbal01,ATL,"$18,500,000 ",,,,,,Cap Space,"$18,500,000 "
63,Tim Hardaway,hardati02,DAL,"$18,150,000 ","$18,975,000 ",,,,,Cap space,"$18,150,000 "
64,Reggie Jackson,jacksre01,DET,"$18,086,956 ",,,,,,Bird Rights,"$18,086,956 "
65,Myles Turner,turnemy01,IND,"$18,000,000 ","$18,000,000 ","$18,000,000 ","$18,000,000 ",,,1st round pick,"$72,000,000 "
66,Julius Randle,randlju01,NYK,"$18,000,000 ","$18,900,000 ","$19,800,000 ",,,,,"$40,900,000 "
67,Gary Harris,harriga01,DEN,"$17,839,286 ","$19,160,714 ","$20,482,143 ",,,,1st Round Pick,"$57,482,143 "
68,Andre Iguodala,iguodan01,MEM,"$17,185,185 ",,,,,,Bird Rights,"$17,185,185 "
69,Bojan Bogdanović,bogdabo02,UTA,"$17,000,000 ","$17,850,000 ","$18,700,000 ","$19,550,000 ",,,,"$73,100,000 "
70,Evan Fournier,fournev01,ORL,"$17,000,000 ","$17,000,000 ",,,,,Cap Space,"$17,000,000 "
71,Bismack Biyombo,biyombi01,CHO,"$17,000,000 ",,,,,,Cap Space,"$17,000,000 "
72,Derrick Favors,favorde01,NOP,"$16,900,000 ",,,,,,,"$16,000,000 "
73,Clint Capela,capelca01,HOU,"$16,456,522 ","$17,500,000 ","$18,543,478 ","$19,586,957 ",,,,"$72,086,957 "
74,Gorgui Dieng,dienggo01,MIN,"$16,229,213 ","$17,287,640 ",,,,,1st Round Pick,"$33,516,853 "
75,Ricky Rubio,rubiori01,PHO,"$16,190,476 ","$17,000,000 ","$17,809,524 ",,,,,"$51,000,000 "
76,Jonas Valančiūnas,valanjo01,MEM,"$16,000,000 ","$15,000,000 ","$14,000,000 ",,,,,"$45,000,000 "
77,Brandon Knight,knighbr03,CLE,"$15,643,750 ",,,,,,,"$15,643,750 "
78,Eric Bledsoe,bledser01,MIL,"$15,625,000 ","$16,875,000 ","$18,125,000 ","$19,375,000 ",,,Bird Rights,"$70,000,000 "
79,Kelly Oubre,oubreke01,PHO,"$15,625,000 ","$14,375,000 ",,,,,,"$30,000,000 "
80,Dennis Schröder,schrode01,OKC,"$15,500,000 ","$15,500,000 ",,,,,1st Round Pick,"$31,000,000 "
81,Ian Mahinmi,mahinia01,WAS,"$15,450,051 ",,,,,,Cap Space,"$15,450,051 "
82,James Johnson,johnsja01,MIA,"$15,349,400 ","$16,047,100 ",,,,,Cap space,"$15,349,400 "
83,Marvin Williams,willima02,CHO,"$15,006,250 ",,,,,,Cap Space,"$15,006,250 "
84,Marcus Morris,morrima03,NYK,"$15,000,000 ",,,,,,,"$15,000,000 "
85,Bobby Portis,portibo01,NYK,"$15,000,000 ","$15,750,000 ",,,,,,"$15,000,000 "
86,Danny Green,greenda02,LAL,"$14,634,146 ","$15,365,854 ",,,,,,"$30,000,000 "
87,Cody Zeller,zelleco01,CHO,"$14,471,910 ","$15,415,730 ",,,,,1st Round Pick,"$29,887,640 "
88,Eric Gordon,gordoer01,HOU,"$14,057,730 ","$16,869,276 ","$18,218,818 ","$19,568,360 ","$20,917,902 ",,Cap Space,"$68,714,184 "
89,Mason Plumlee,plumlma01,DEN,"$14,041,096 ",,,,,,Cap space,"$14,041,096 "
90,Rudy Gay,gayru01,SAS,"$14,000,000 ","$14,000,000 ",,,,,,"$28,000,000 "
91,J.J. Redick,redicjj01,NOP,"$13,486,300 ","$13,013,700 ",,,,,,"$26,500,000 "
92,Jordan Clarkson,clarkjo01,CLE,"$13,437,500 ",,,,,,Cap Space,"$13,437,500 "
93,Dewayne Dedmon,dedmode01,SAC,"$13,333,334 ","$13,333,333 ","$13,333,333 ",,,,,"$40,000,000 "
94,Solomon Hill,hillso01,MEM,"$13,258,781 ",,,,,,Cap Space,"$13,258,781 "
95,Justise Winslow,winslju01,MIA,"$13,000,000 ","$13,000,000 ","$13,000,000 ",,,,1st round pick,"$26,000,000 "
96,Michael Kidd-Gilchrist,kiddgmi01,CHO,"$13,000,000 ",,,,,,1st Round Pick,"$13,000,000 "
97,Will Barton,bartowi01,DEN,"$12,960,000 ","$13,920,000 ","$14,880,000 ",,,,,"$26,880,000 "
98,Thaddeus Young,youngth01,CHI,"$12,900,000 ","$13,545,000 ","$14,190,000 ",,,,,"$32,445,000 "
99,Courtney Lee,leeco01,DAL,"$12,759,670 ",,,,,,Cap Space,"$12,759,670 "
100,Larry Nance,nancela02,CLE,"$12,727,273 ","$11,709,091 ","$10,690,909 ","$9,672,727 ",,,1st Round pick,"$44,800,000 "
101,Marcus Smart,smartma01,BOS,"$12,553,471 ","$13,446,428 ","$14,339,285 ",,,,,"$40,339,184 "
102,Terrence Ross,rosste01,ORL,"$12,500,000 ","$13,500,000 ","$12,500,000 ","$11,500,000 ",,,,"$50,000,000 "
103,Miles Plumlee,plumlmi01,MEM,"$12,500,000 ",,,,,,,"$12,500,000 "
104,Patty Mills,millspa02,SAS,"$12,428,571 ","$13,285,714 ",,,,,Bird Rights,"$25,714,285 "
105,Patrick Beverley,beverpa01,LAC,"$12,345,679 ","$13,333,333 ","$14,320,988 ",,,,,"$40,000,000 "
106,Trevor Ariza,arizatr01,SAC,"$12,200,000 ","$12,800,000 ",,,,,,"$14,000,000 "
107,Dion Waiters,waitedi01,MIA,"$12,100,000 ","$12,650,000 ",,,,,Cap space,"$24,750,000 "
108,Brook Lopez,lopezbr01,MIL,"$12,093,024 ","$12,697,675 ","$13,302,325 ","$13,906,976 ",,,,"$52,000,000 "
109,Jusuf Nurkić,nurkiju01,POR,"$12,000,000 ","$12,000,000 ","$12,000,000 ",,,,,"$28,000,000 "
110,Cory Joseph,josepco01,SAC,"$12,000,000 ","$12,600,000 ","$12,600,000 ",,,,,"$24,600,000 "
111,Joe Ingles,inglejo01,UTA,"$11,954,546 ","$10,863,637 ","$14,000,000 ",,,,Bird Rights,"$36,818,183 "
112,Kelly Olynyk,olynyke01,MIA,"$11,667,885 ","$12,198,243 ",,,,,Cap space,"$11,667,885 "
113,Maurice Harkless,harklma01,LAC,"$11,511,234 ",,,,,,Cap Space,"$11,511,234 "
114,Tony Snell,snellto01,DET,"$11,392,857 ","$12,178,571 ",,,,,Cap space,"$11,392,857 "
115,Robert Covington,covinro01,MIN,"$11,301,219 ","$12,138,345 ","$12,975,471 ",,,,Cap Space,"$36,415,035 "
116,Meyers Leonard,leoname01,MIA,"$11,286,515 ",,,,,,Cap Space,"$11,286,515 "
117,T.J. Warren,warretj01,IND,"$10,810,000 ","$11,750,000 ","$12,690,000 ",,,,1st Round Pick,"$35,250,000 "
118,Andre Roberson,roberan03,OKC,"$10,740,741 ",,,,,,Bird Rights,"$10,740,741 "
119,Spencer Dinwiddie,dinwisp01,BRK,"$10,600,000 ","$11,400,000 ","$12,300,000 ",,,,Minimum Salary,"$22,000,000 "
120,Jeremy Lamb,lambje01,IND,"$10,500,000 ","$10,500,000 ","$10,500,000 ",,,,,"$31,500,000 "
121,Dwight Powell,poweldw01,DAL,"$10,259,375 ","$10,185,185 ","$11,000,000 ","$11,814,815 ",,,Cap Space,"$43,259,375 "
122,Norman Powell,powelno01,TOR,"$10,116,576 ","$10,865,952 ","$11,615,328 ",,,,Cap Space,"$20,982,528 "
123,Josh Richardson,richajo01,PHI,"$10,100,000 ","$10,800,000 ","$11,600,000 ",,,,Minimum Salary,"$20,900,000 "
124,Tomáš Satoranský,satorto01,CHI,"$10,000,000 ","$10,000,000 ","$10,000,000 ",,,,,"$25,000,000 "
125,DeAndre Jordan,jordade01,BRK,"$9,881,598 ","$10,375,678 ","$9,881,598 ","$9,821,842 ",,,,"$39,960,716 "
126,Taj Gibson,gibsota01,NYK,"$9,800,000 ","$10,290,000 ",,,,,,"$9,800,000 "
127,Zion Williamson,willizi01,NOP,"$9,757,440 ","$10,245,480 ","$10,733,400 ","$13,534,817 ",,,1st Round Pick,"$20,002,920 "
128,Markelle Fultz,fultzma01,ORL,"$9,745,200 ","$12,288,697 ",,,,,1st Round Pick,"$22,033,897 "
129,John Henson,hensojo01,CLE,"$9,732,396 ",,,,,,1st Round Pick,"$9,732,396 "
130,Matthew Dellavedova,dellama01,CLE,"$9,607,500 ",,,,,,Cap Space,"$9,607,500 "
131,Dante Exum,exumda01,UTA,"$9,600,000 ","$9,600,000 ",,,,,Cap Space,"$18,200,000 "
132,Deandre Ayton,aytonde01,PHO,"$9,562,920 ","$10,018,200 ","$12,632,950 ",,,,1st Round Pick,"$19,581,120 "
133,Delon Wright,wrighde01,DAL,"$9,473,684 ","$9,000,000 ","$8,526,316 ",,,,,"$27,000,000 "
134,Jerami Grant,grantje01,DEN,"$9,346,153 ","$9,346,153 ",,,,,,"$9,346,153 "
135,Al-Farouq Aminu,aminual01,ORL,"$9,258,000 ","$9,720,900 ","$10,183,800 ",,,,MLE,"$29,162,700 "
136,George Hill,hillge01,MIL,"$10,133,907 ","$9,590,602 ","$10,047,297 ",,,,,"$21,000,000 "
137,Kyle Anderson,anderky01,MEM,"$9,073,050 ","$9,505,100 ","$9,937,150 ",,,,MLE,"$28,515,300 "
138,Fred VanVleet,vanvlfr01,TOR,"$9,000,000 ",,,,,,Bird Rights,"$9,000,000 "
139,Ja Morant,moranja01,MEM,"$8,730,240 ","$9,166,800 ","$9,603,360 ","$12,119,440 ",,,1st Round Pick,"$17,897,040 "
140,C.J. Miles,milescj01,WAS,"$8,730,158 ",,,,,,MLE,"$8,730,158 "
141,Lonzo Ball,balllo01,NOP,"$8,719,320 ","$11,003,782 ",,,,,1st Round Pick,"$19,723,102 "
142,E'Twaun Moore,mooreet01,NOP,"$8,664,928 ",,,,,,Cap Space,"$8,664,928 "
143,Marvin Bagley,baglema01,SAC,"$8,556,120 ","$8,963,640 ","$11,312,114 ",,,,1st Round Pick,"$17,519,760 "
144,Bogdan Bogdanović,bogdabo01,SAC,"$8,529,386 ",,,,,,Cap space,"$8,529,386 "
145,Tyus Jones,jonesty01,MEM,"$8,408,000 ","$7,965,100 ","$7,522,200 ",,,,MLE,"$23,895,300 "
146,P.J. Tucker,tuckepj01,HOU,"$8,349,039 ","$7,969,537 ",,,,,MLE,"$10,918,227 "
147,Cristiano Felício,feliccr01,CHI,"$8,156,500 ","$7,529,020 ",,,,,Cap space,"$15,685,520 "
148,Ben Simmons,simmobe01,PHI,"$8,113,930 ","$29,250,000 ","$31,590,000 ","$33,930,000 ","$36,270,000 ","$38,610,000 ",1st Round pick,"$177,763,930 "
149,Kentavious Caldwell-Pope,caldwke01,LAL,"$8,089,282 ","$8,493,746 ",,,,,,"$8,089,282 "
150,Maxi Kleber,klebima01,DAL,"$8,000,000 ","$8,250,000 ","$8,750,000 ","$9,000,000 ",,,,"$25,000,000 "
151,Lou Williams,willilo02,LAC,"$8,000,000 ","$8,000,000 ",,,,,Cap Space,"$16,000,000 "
152,Elfrid Payton,paytoel01,NYK,"$8,000,000 ","$8,000,000 ",,,,,,"$9,000,000 "
153,Thomas Bryant,bryanth01,WAS,"$7,936,508 ","$8,333,333 ","$8,730,159 ",,,,,"$25,000,000 "
154,RJ Barrett,barrerj01,NYK,"$7,839,960 ","$8,231,760 ","$8,623,920 ","$10,900,635 ",,,1st Round Pick,"$16,071,720 "
155,Jayson Tatum,tatumja01,BOS,"$7,830,000 ","$9,897,120 ",,,,,1st Round Pick,"$17,727,120 "
156,Jae Crowder,crowdja01,MEM,"$7,815,533 ",,,,,,Bird Rights,"$7,815,533 "
157,Wayne Ellington,ellinwa01,NYK,"$7,804,878 ","$8,195,122 ",,,,,,"$7,804,878 "
158,Luka Dončić,doncilu01,DAL,"$7,683,360 ","$8,049,360 ","$10,174,391 ",,,,1st Round Pick,"$15,732,720 "
159,Joe Harris,harrijo01,BRK,"$7,670,000 ",,,,,,Early Bird Rights,"$7,670,000 "
160,Seth Curry,curryse01,DAL,"$7,441,860 ","$7,813,953 ","$8,186,047 ","$8,558,140 ",,,MLE,"$32,000,000 "
161,Doug McDermott,mcderdo01,IND,"$7,333,334 ","$7,333,333 ",,,,,,"$14,666,667 "
162,Langston Galloway,gallola01,DET,"$7,333,333 ",,,,,,MLE,"$7,333,333 "
163,Derrick Rose,rosede01,DET,"$7,317,073 ","$7,682,927 ",,,,,MLE,"$15,000,000 "
164,Brandon Ingram,ingrabr01,NOP,"$7,265,485 ",,,,,,1st Round pick,"$7,265,485 "
165,D.J. Augustin,augusdj01,ORL,"$7,250,000 ",,,,,,Cap Space,"$7,250,000 "
166,Darius Miller,milleda01,NOP,"$7,250,000 ","$7,000,000 ",,,,,,"$7,250,000 "
167,De'Andre Hunter,huntede01,ATL,"$7,068,360 ","$7,422,000 ","$7,775,400 ","$9,835,881 ",,,1st Round Pick,"$14,490,360 "
168,Josh Jackson,jacksjo02,MEM,"$7,059,480 ",,,,,,1st Round Pick,"$7,059,480 "
169,DeMarre Carroll,carrode01,SAS,"$7,000,000 ","$6,650,000 ","$7,000,000 ",,,,,"$15,000,000 "
170,Dāvis Bertāns,bertada01,WAS,"$7,000,000 ",,,,,,Early Bird Rights,"$7,000,000 "
171,Ersan İlyasova,ilyaser01,MIL,"$7,000,000 ","$7,000,000 ",,,,,MLE,"$7,000,000 "
172,Jaren Jackson,jacksja02,MEM,"$6,927,480 ","$7,257,360 ","$9,180,560 ",,,,1st Round Pick,"$14,184,840 "
173,Nemanja Bjelica,bjeline01,SAC,"$6,825,000 ","$7,150,000 ",,,,,,"$6,825,000 "
174,Jaylen Brown,brownja02,BOS,"$6,534,829 ","$22,991,071 ","$24,830,357 ","$26,669,643 ","$28,508,929 ",,1st Rd pick,"$109,534,829 "
175,Jabari Parker,parkeja01,ATL,"$6,500,000 ","$6,500,000 ",,,,,,"$6,500,000 "
176,Ivica Zubac,zubaciv01,LAC,"$6,481,482 ","$7,000,000 ","$7,518,518 ","$7,518,518 ",,,,"$21,000,000 "
177,Joakim Noah,noahjo01,NYK,"$6,431,666 ","$6,431,666 ","$6,431,666 ",,,,,"$19,294,998 "
178,Darius Garland,garlada01,CLE,"$6,400,920 ","$6,720,720 ","$7,040,880 ","$8,920,795 ",,,1st Round Pick,"$13,121,640 "
179,De'Aaron Fox,foxde01,SAC,"$6,392,760 ","$8,099,627 ",,,,,1st Round Pick,"$14,492,387 "
180,Trae Young,youngtr01,ATL,"$6,273,000 ","$6,571,800 ","$8,326,471 ",,,,1st Round Pick,"$12,844,800 "
181,Montrezl Harrell,harremo01,LAC,"$6,000,000 ",,,,,,,"$6,000,000 "
182,Ish Smith,smithis01,WAS,"$5,853,659 ","$6,146,341 ",,,,,MLE,"$12,000,000 "
183,Marco Belinelli,belinma01,SAS,"$5,846,154 ",,,,,,MLE,"$5,846,154 "
184,Jarrett Culver,culveja01,MIN,"$5,813,640 ","$6,104,280 ","$6,395,160 ","$8,109,063 ",,,1st Round Pick,"$11,917,920 "
185,Jonathan Isaac,isaacjo01,ORL,"$5,806,440 ","$7,362,566 ",,,,,1st Round Pick,"$13,169,006 "
186,Rodney Hood,hoodro01,POR,"$5,718,000 ","$6,003,900 ",,,,,MLE,"$5,718,000 "
187,Mo Bamba,bambamo01,ORL,"$5,697,600 ","$5,969,040 ","$7,568,742 ",,,,1st Round Pick,"$11,666,640 "
188,Timofey Mozgov,mozgoti01,ORL,"$5,573,333 ","$5,573,333 ","$5,573,334 ",,,,,"$16,720,000 "
189,Trey Lyles,lylestr01,SAS,"$5,500,000 ","$5,500,000 ",,,,,MLE,"$5,500,000 "
190,Deron Williams,willide01,BRK,"$5,474,787 ",,,,,,,"$5,474,787 "
191,Aron Baynes,baynear01,PHO,"$5,453,280 ",,,,,,,"$5,453,280 "
192,Kris Dunn,dunnkr01,CHI,"$5,348,007 ",,,,,,1st Round pick,"$5,348,007 "
193,Josh Smith,smithjo03,DET,"$5,331,729 ",,,,,,,"$5,331,729 "
194,Coby White,whiteco01,CHI,"$5,307,120 ","$5,572,680 ","$5,837,760 ","$7,413,955 ",,,1st Round Pick,"$10,879,800 "
195,Lauri Markkanen,markkla01,CHI,"$5,300,400 ","$6,731,508 ",,,,,1st Round Pick,"$12,031,908 "
196,Ryan Anderson,anderry01,MIA,"$7,779,336 ","$5,214,583 ","$5,214,584 ",,,,,"$15,643,750 "
197,Wendell Carter,cartewe01,CHI,"$5,201,400 ","$5,448,840 ","$6,920,027 ",,,,1st Round Pick,"$10,650,240 "
198,Pau Gasol,gasolpa01,SAS,"$7,664,753 ",,,,,,,"$5,100,000 "
199,Daniel Theis,theisda01,BOS,"$5,000,000 ","$5,000,000 ",,,,,,"$5,000,000 "
200,Luol Deng,denglu01,LAL,"$4,990,000 ","$4,990,000 ","$4,990,000 ",,,,,"$14,970,000 "
201,Jaxson Hayes,hayesja02,NOP,"$4,862,040 ","$5,105,160 ","$5,348,280 ","$6,803,012 ",,,1st Round Pick,"$9,967,200 "
202,Buddy Hield,hieldbu01,SAC,"$4,861,208 ","$24,431,818 ","$22,477,273 ","$20,522,727 ","$18,568,182 ",,1st Round pick,"$90,861,208 "
203,Frank Ntilikina,ntilila01,NYK,"$4,855,800 ","$6,176,578 ",,,,,1st Round Pick,"$11,032,378 "
204,Ed Davis,davised01,UTA,"$4,767,000 ","$5,005,350 ",,,,,Room Exception,"$9,772,350 "
205,Richaun Holmes,holmeri01,SAC,"$4,767,000 ","$5,005,350 ",,,,,Room Exception,"$9,772,350 "
206,Frank Kaminsky,kaminfr01,PHO,"$4,767,000 ","$5,005,350 ",,,,,Room Exception,"$9,772,350 "
207,Mike Scott,scottmi01,PHI,"$4,767,000 ","$5,005,350 ",,,,,Room Exception,"$9,772,350 "
208,Avery Bradley,bradlav01,LAL,"$6,767,000 ","$5,005,350 ",,,,,Room Exception,"$9,772,350 "
209,Robin Lopez,lopezro01,MIL,"$4,767,000 ","$5,005,350 ",,,,,Room Exception,"$4,767,000 "
210,JaMychal Green,greenja01,LAC,"$4,767,000 ","$5,005,350 ",,,,,Room Exception,"$4,767,000 "
211,Justin Holiday,holidju01,IND,"$4,767,000 ",,,,,,Room Exception,"$4,767,000 "
212,Garrett Temple,templga01,BRK,"$4,767,000 ","$5,005,350 ",,,,,Room Exception,"$4,767,000 "
213,Enes Kanter,kanteen01,BOS,"$4,767,000 ","$5,005,350 ",,,,,Room Exception,"$4,767,000 "
214,Collin Sexton,sextoco01,CLE,"$4,764,960 ","$4,991,880 ","$6,349,671 ",,,,1st Round Pick,"$9,756,840 "
215,Rodney McGruder,mcgruro01,LAC,"$4,629,630 ","$5,000,000 ","$5,370,370 ",,,,,"$15,000,000 "
216,Kevon Looney,looneke01,GSW,"$4,629,630 ","$5,000,000 ","$5,370,370 ",,,,,"$9,629,630 "
217,Rui Hachimura,hachiru01,WAS,"$4,469,160 ","$4,692,840 ","$4,916,160 ","$6,263,188 ",,,1st Round Pick,"$9,162,000 "
218,Dennis Smith,smithde03,NYK,"$4,463,640 ","$5,686,677 ",,,,,1st Round Pick,"$10,150,317 "
219,Jamal Murray,murraja01,DEN,"$4,444,746 ","$29,250,000 ","$31,590,000 ","$33,930,000 ","$36,270,000 ","$38,610,000 ",1st Round pick,"$174,094,746 "
220,Kevin Knox,knoxke01,NYK,"$4,380,120 ","$4,588,680 ","$5,845,978 ",,,,1st Round Pick,"$8,968,800 "
221,Cam Reddish,reddica01,ATL,"$4,245,720 ","$4,458,000 ","$4,670,160 ","$5,954,454 ",,,1st Round Pick,"$8,703,720 "
222,Zach Collins,colliza01,POR,"$4,240,200 ","$5,406,255 ",,,,,1st Round Pick,"$9,646,455 "
